Nombre de la carrera,area,Duracion
Administracion de Empresas,Administracion,9 Cuatrimestres
Derecho,Humanidades,9 Cuatrimestres
Contaduria,Finanzas,9 Cuatrimestres
Diseño Grafico,Arte,9 Cuatrimestres
Ingenieria en Tecnologias de la Informacion y Negocios,Informatica,9 Cuatrimestres
