Nombre de la carrera,area,Duracion
Ing. Agricola,"Biologia, C. de la Tierra",9 Semestres
Ing. Industrial,Administracion,9 Semestres
Ing. en Tecnologias de la Informacion y Comunicacion,,9 Semestres
Ing. Mecatronica,"Mecanica, Electronico",9 Semestres
Ing. Gestion Empresarial,Administracion,9 Semestres
