Nombre de la carrera,area,Duracion
Ingenieria Ambiental,Biologia,8 Semestres
Ingenieria Industrial,Administracion,8 Semestres
Ingenieria en Industrias Alimentarias ,Quimica,8 Semestres
Ingenieria en Energias Renovables ,Quimica,8 Semestres
Ingenieria en Gestion Empresarial ,Administracion,8 Semestres
Ingenieria en Sistemas Automotrices ,Mecanica,8 Semestres
Ingenieria en Innovacion Agricola Sustentable,Biologia,8 Semestres
