Nombre de la carrera,area,Duracion
Arquitecto,Diseño,10 Semestres
Ingenieria Civil,Diseño,10 Semestres
Ingenieria en Biotecnologia,Biologia,10 Semestres
Licenciatura en Economia,Finanzas ,8 Semestres
Ingenieria en Mecatronica,Mecanica,9 Semestres
