Nombre de la carrera,area,Duracion
Artes Digitales ,Arte ,9 Semestres
Ingenieria en Comunicaciones y Electronica,Electronica,9 Semestres
Ingenieria Electrica,Electrica,9 Semestres
Enseñanza del Ingles ,Lenguas,8 Semestres
Gestion Empresarial ,Administracion,9 Semestres
Ingenieria Mecanica,Mecanica,9 Semestres
Ingenieria Mecatronica,Mecanica- Electronica,9 Semestres
Ingenieria en Sistemas Computacionales,Informatica,9 Semestres
