Nombre de la carrera,area,Duracion
Nutricion,C. de la Salud,10 Semestres
Psicologia,C. de la Salud,10 Semestres
Administracion de Empresas,Administracion,10 Semestres
Mercadotecnia Integral,Administracion,10 Semestres
Comercio y Negocios Internacionales,Administracion,10 Semestres
Ingeniero Arquitecto,Diseño,10 Semestres
Ingenieria Industrial,Administracion,10 Semestres
Derecho,Humanidades,10 Semestres
Ciencia Politica y Administracion Pública,Humanidades,10 Semestres
