Nombre de la carrera,area,Duracion
Ingenieria Mecanica ,Mecanica,14 Cuatrimestres
Ingenieria en Sistemas y Desarrollo de Software,Informatica,14 Cuatrimestres
Licenciatura en Diseño y Counicacion Visual,Diseño,14 Cuatrimestres
Licenciatura en Gestion Empresarial,Administracion,11 Cuatrimestres
