Nombre de la carrera,area,Duracion
Licenciatura en Arquitectura ,Diseño ,10 Semestres
Licenciatura en Artes Escenicas,Arte,8 Semestres
Licenciatura en Artes Visuales,Arte,9 Semestres
Licenciatura en Diseño Grafico,Arte,9 Semestres
Licenciatura en Diseño de Interiores,Arte,8 Semestres
Licenciatura en música,Arte,9 Semestre
Licenciatura en Administracion de la calidad y la productividad ,Administracion,8 Semestres
Administracion de Recursos Turisticos,Administracion,8 Semestres
Licenciatura en Comercio Industrial ,Administracion,8 Semestres
Licenciatura en Contaduria Pública,Finanzas,8 Semestres
Licenciatura en Economia,Finanzas,8 Semestres
Licenciatura en Relaciones Industriales ,Administracion,8 Semestres
Sistemas de Informacion Administrativa,Administracion,8 Semestres
Licenciatura en Biologia Experimental ,Biologia,8 Semestres
Ingenieria Quimica,Quimica,10 Semestres
Licenciatura en Matematicas,Matematicas,10 Semestres
Licenciatura en Quimico Farmaceutico Biologo,Quimica,9 Semestres
Enseñanza del Español como Segunda Lengua,Lenguas,8 Semestres
Licenciatura en Enseñanza del Ingles ,Lenguas,8 Semestres
Licenciatura en Filosofia,Humanidades,9 Semestres
Licenciatura en Historia ,Humanidades,8 Semestres
Licenciatura en Letras Españolas,Humanidades,10 Semestres
Licenciatura en Administracion Pública,Administracion,10 Semestres
Licenciatura en Ciencia Politica,Humanidades,9 Semestres
Licenciatura en Derecho,Humanidades,10 Semestres
Licenciatura en Geografia ,C. de la Tierra,9 Semestres
Ingenieria Ambiental,Quimica,9 Semestres
Ingenieria Civil,Diseño,10 Semestres
Ingenieria Metalúrgica,C. de la Tierra,9 Semestres
Ingenieria en Geologia ,C. de la Tierra,9 Semestres
Ingenieria en Minas ,C. de la Tierra,8 Semestres
