Nombre de la carrera,area,Duracion
Administracion de Negocios ,Finanzas ,8 Semestres
Contaduria Pública,Finanzas ,8 Semestres
Gestion y operacion de servicios gastronomicos,Administracion,8 Semestres
Mercadotecnia Estrategica,Finanzas,8 Semestres
Negocios Internacionales,Finanzas,8 Semestres
Turismo de Negocios y Reuniones,Administracion,8 Semestres
Automatizacion y control industrial,Electronica,9 Cuartrimestres
