Nombre de la carrera,area,Duracion
Administracion de Empresas,Administracion,10 Cuatrimestres
Derecho,Humanidades,10 Cuatrimestres
Diseño Grafico,Arte,12 Cuatrimestres
Licenciatura en Mercadotecnia,Administracion,9 Cuatrimestre
Ingeniero Arquitecto,Diseño- Matematicas,10 Cuatrimestres
