Nombre de la carrera,area,Duracion
TSU en Contaduria,Finanzas ,6 Cuatrimestres
TSU en Energias Renovables,Biologia,6 Cuatrimestres
TSU en Procesos Alimentarios,Quimica,6 Cuatrimestres
TSU en Desarrollo de Negocios,Administracion,6 Cuatrimestres
TSU en Mecanica,Mecanica,6 Cuatrimestres
TSU en Agricultura Sustentable y Protegida,Biologia,6 Cuatrimestres
TSU en Diseño y Moda Industrial,Administracion,6 Cuatrimestres
TSU en Mantenimiento,Mecanica,6 Cuatrimestres
TSU en Terapia Fisica,C. Medicas,6 Cuatrimestres
TSU en Tecnologias de la Informacion y Telecomunicacion,Informatica,6 Cuatrimestres
