Nombre de la carrera,area,Duracion
Ingenieria en Redes y Telecomunicaciones,Electronica,10 Cuatrimestres
Ingenieria en Plasticos,Quimica,10 Cuatrimestres
Ingenieria en Sistemas Automotrices,Mecanica,10 Cuatrimestres
Ingenieria Financiera,Finanzas,10 Cuatrimestres
Ingenieria Metalúrgica,"Mecanica, Quimica",10 Cuatrimestres
