Nombre de la carrera,area,Duracion
Licenciatura en Contaduria ,Finanzas,6 Cuatrimestres
Licenciatura en Desarrollo de Negocios,Administracion,6 Cuatrimestres
TSU Sistemas Informaticos,Informatica,6 Cuatrimestres
TSU en Redes y telecomunicaciones ,Electronica,6 Cuatrimestres
TSU en Mecatronica,Mecanica- Electronica,6 Cuatrimestres
Ingenieria en Gestion Empresarial,Administracion,11 Cuatrimestres
Ingenieria en Mecatronica,Mecanica- Electronica,11 Cuatrimestres
Ingenieria en Tecnologias de la Informacion y comunicacion,Electronica,11 Cuatrimestres
