Nombre de la carrera,area,Duracion
Ingenieria en Tecnologias de la Informacion,Informatica,11 Cuatrimestres
Ingenieria en Desarrollo e Innovacion Empresarial,Administracion,11 Cuatrimestres
Licenciatura en Gestion y Desarrollo Turistico,Administracion,11 Cuatrimestres
Ingenieria en Mecatronica ,Mecanica,11 Cuatrimestres
Ingenieria en Mantenimiento Industrial,Administracion,11 Cuatrimestres
Ingenieria en Sistemas Productivos ,Administracion,11 Cuatrimestres
Ingenieria en Tecnologia Ambiental,Biologia ,11 Cuatrimestres
