Nombre de la carrera,area,Duracion
Licenciatura en Educacion ,Pedagogia,8 Semestres
Educacion Preescolar y Educacion Primaria para el medio indigena,Pedagogia,8 Semestres
Licenciatura en Intervencion Educativa,Pedagogia,8 Semestres
Licenciatura en Desarrollo Comunitario,Pedagogia,8 Semestres
