Nombre de la carrera,Área,Duración
Licenciatura en Educación ,Pedagogía,8 Semestres
Educación Preescolar y Educación Primaria para el medio indígena,Pedagogía,8 Semestres
Licenciatura en Intervención Educativa,Pedagogía,8 Semestres
Licenciatura en Desarrollo Comunitario,Pedagogía,8 Semestres
