Nombre de la carrera,area,Duracion
Actuaria,Finanzas,9 Semestres
Administracion de Negocios ,Finanzas ,8 Semestres
Contaduria Pública,Finanzas ,8 Semestres
Gestion y operacion de servicios gastronomicos,Administracion,8 Semestres
Mercadotecnia Estrategica,Finanzas,8 Semestres
Negocios Internacionales,Finanzas,8 Semestres
Negocios Turisticos,Administracion,8 Semestres
Ingenieria Biomedica,"Electronica, Mecanica",8 Semestres
Ingenieria Civil,"Diseño, Matematicas",10 Semestres
Ingenieria de Software y Sistemas Computacionales,Informatica,8 Semestres
Ingenieria Electromecanica,"Electrica, Mecanica",9 Semestres
Ingenieria en Electronica y Telecomunicaciones,Electronica,9 Semestres
Ingenieria en Tecnologias y Soluciones de Negocio,Administracion,8 Semestres
Ingenieria Industrial,Administracion,9 Semestres
