Nombre de la carrera,area,Duracion
Turismo,Administracion,8 Semestres
Derecho,Humanidades,8 Semestres
Licenciatura en Gastronomia,Administracion,8 Semestres
Licenciatura en Negocios Internacionales,Administracion,8 Semestres
Licenciatura en Fisioterapia,C. de la Salud,8 Semestres
Ingenieria Civil,Diseño,8 Semestres
Ingenieria Industrial,Administracion,8 Semestres
