Nombre de la carrera,area,Duracion
Ciencias de la Actividad Fisica y Salud ,C. de la Vida,9 Semestres
Enfermeria y Obstetricia,C. de la Vida,8 Semestres
Licenciatura en Medico Cirujano,C. de la Vida,13 Semestres
Nutricion,C. de la Vida,10 Semestres
Psicologia,C. de la Vida,9 Semestres
Terapia Fisica y Rehabilitacion,C. de la Vida,8 Semestres
Licenciatura en Ciencia Politica y Administracion Pública,Humanidades ,8 Semestres
Licenciatura en Antropologia Social,Humanidades ,8 Semestres
Licenciatura en Cultura y Arte ,Arte,8 Semestres
Licenciatura en Desarrollo y Gestion del Territorio,Humanidades ,8 Semestres
Licenciatura en Sociologia,Humanidades ,8 Semestres
Licenciatura en Trabajo Social,Humanidades ,8 Semestres
Fisica,Matematicas- Mecanica- Quimica,8 Semestres
Ingenieria Biomedica,C. de la Vida- Mecanica,8 Semestres
Ingenieria Fisica,Matematicas- Mecanica- Quimica,8 Semestres
Ingenieria Quimica Sustentable,Quimica- Biologia,8 Semestres
