Nombre de la carrera,area,Duracion
Agronegocios,Administracion,9 Semestres
Licenciatura en Agronomia ,Biologia,9 Semestres
Ingenieria en Alimentos ,Quimica,9 Semestres
Ingenieria Ambiental,Biologia,9 Semestres
Enfermeria y Obstetricia,C. de la Vida,8 Semestres
Ingenieria Mecanica Agricola, Mecanica,9 Semestres
Medicina Veterinaria y Zootecnia,C. de la Vida,10 Semestres
