Nombre de la carrera,area,Duracion
Ingenieria Aeronaútica ,Diseño,9 Semestres
Licenciatura en Biologia ,Biologia ,9 Semestres
Ingenieria Bioquimica,Quimica,9 Semestres
Ingenieria Electromecanica,Electrica,9 Semestres
Ingenieria Electronica,Electronica,9 Semestres
Ingenieria Forestal ,C. de la Tierra,9 Semestres
Ingenieria en Gestion Empresarial,Administracion,9 Semestres
Ingenieria Industrial ,Administracion,9 Semestres
Ingenieria en Informatica,Informatica,9 Semestres
Ingenieria en innovacion agricola sustentable,C. de la Tierra ,9 Semestres
Ingenieria en Logistica ,Administracion,9 Semestres
Ingenieria en materiales,Quimica,9 Semestres
Ingenieria en Mecatronica,Mecanica,9 Semestres
Ingenieria en Sistemas Automotrices ,Mecanica,9 Semestres
Ingenieria en Sistemas Computacionales,Informatica,9 Semestres
