Nombre de la carrera,area,Duracion
Nutricion,C. de la Salud,10 Semestres
Arquitectura,"Diseño, Matematicas",10 Semestres
Negocios Globales,Administracion,10 Semestres
Comercio Internacional,Administracion,10 Semestres
Diseño Digital,Arte,----------
Gastronomia,Administracion,------------
Ingenieria Industrial,Administracion,9 Semestres
Derecho,Humanidades,10 Semestres
