Nombre de la carrera,area,Duracion
Ingenieria en Tecnologias de la Informacion y Comunicaciones,Informatica,9 Semestres
Ingenieria en Sistemas Computacionales ,Informatica,9 Semestres
Ingenieria Electronica,Electronica,9 Semestres
Ingenieria Mecatronica,Mecanica- Electronica,9 Semestres
Ingenieria Electromecanica,Mecanica- Electrica,9 Semestres
Ingenieria en Logistica,Administracion,9 Semestres
Ingenieria Industrial ,Administracion,9 Semestres
Ingenieria en Gestion Empresarial,Administracion,9 Semestres
