Nombre de la carrera,area,Duracion
Administracion de empresas,Administracion,9 Cuatrimestres
Administracion Financiera,Administracion,9 Cuatrimestres
Comercio Internacional y Aduanas,Administracion,10 Cuatrimestres
Contaduria,Administracion,9 Cuatrimestres
Derecho,Humanidades,9 Cuatrimestres
Ingenieria en Sistemas Comútacionales,Informatica,12 Cuatrimestres
Ingeniero Arquitecto,Diseño,11 Cuatrimestres
Contaduria y Finanzas,Finanzas,9 Cuatrimestres
Diseño Grafico,Arte,9 Cuatrimestres
Ingenieria Industrial,Administracion,12 Cuatrimestres
