Nombre de la carrera,area,Duracion
Ingenieria en Gestion Empresarial,Administracion,9 Semestres
Ingenieria en Tecnologias de la Informacion y Comunicacion,Electronica- Informatica,9 Semestres
Ingenieria en Agonomia ,Biologia,9 Semestres
Ingenieria en Industrias Alimenticias ,Biologia- Administracion,9 Semestres
Ingenieria en Innovacion Agricola Sustentable,Biologia,9 Semestres
Ingenieria en Hidrologica,Biologia- Mecanica,9 Semestres
