Nombre de la carrera,area,Duracion
Licenciatura en Administracion y Gestion de PyMES,Administracion,9 Cuatrimestres
Ingenieria en Metrologia y Calidad,Matematicas,9 Cuatrimestres
Ingenieria en Biotecnologia,Biologia,9 Cuatrimestres
Ingenieria en Logistica y Transporte,Administracion,9 Cuatrimestres
Introduccion en tecnologias de manufactura ,Administracion,9 Cuatrimestres
Ingenieria Agroindustrial,Biologia,9 Cuatrimestres
