Nombre de la carrera,area,Duracion
Ingenieria en Agrotecnologia ,"Mecanica, Biologia",10 Cuatrimestres
Ingenieria Biomedica,"Mecanica, C. de la Vida",10 Cuatrimestres
Ingenieria Financiera ,Finanzas,10 Cuatrimestres
Ingenieria en Diseño Industrial,"Diseño, Mecanica",10 Cuatrimestres
Ingenieria Robotica,"Mecanica, Electronica, Diseño",10 Cuatrimestres
Ingenieria en Logistica y Transporte,Administrracion,10 Cuatrimestres
